evidence_id,source,date,org,claim_or_signal,memo_section,evidence_strength,limitation,link,status
T01,CWA 2024 Taiwan climate analysis PDF,2025-07-22,CWA,"CWA's 2024 Taiwan climate analysis reports Taiwan's 2024 annual mean temperature as 24.6°C, 0.7°C above the climate normal, ranking first in Taiwan's meteorological record.","Temperature Baseline",High,"Annual national average; not sufficient for local heat or load analysis.",https://www.cwa.gov.tw/Data/climate/Watch/twn/twn-monitor_2024-0.pdf,verified_public
T02,CWA station statistics page,2026-05-27 accessed,CWA,"CWA describes station statistics and Taiwan Climate Change Statistical Atlas materials using 1991-2020 climate normals and ETCCDI extreme climate indicators, including extreme temperature and rainfall trends.","Temperature Baseline; Methods",High,"Methodology/background source; specific station data still needs extraction.",https://climate.cwa.gov.tw/MeasuringObservation,verified_public
T03,CWA high-temperature information page,2026-05-27 accessed,CWA,"CWA defines high-temperature warning levels: yellow at 36°C or above, orange for 36°C for three consecutive days or 38°C or above, and red for 38°C or above for three consecutive days.","Temperature Baseline; Heat Risk",High,"Operational warning page; dynamic and should be snapshotted for live data.",https://www.cwa.gov.tw/V8/C/P/Warning/W29.html,verified_public
T04,Climate Change Administration heat adaptation page,2026-05-27 accessed,Climate Change Administration,"Taiwan's heat adaptation page summarizes that uncontrolled warming could make Taiwan's future summer last up to seven months and increase days above 36°C by 75 days, citing the National Climate Change Scientific Report 2024.","Future Temperature Risk",Medium-high,"Policy summary; the underlying scientific report should be cited for final quantitative use.",https://www.cca.gov.tw/affairs/adaptation-and-resilience/heat-resilience/25354.html,verified_public
T05,National Climate Change Scientific Report 2024 abstract,2024,NCDR/TCCIP,"The 2024 national climate science report summary states that station data show high-temperature days increasing and low-temperature days decreasing in Taiwan.","Temperature Trend",High,"Summary statement; detailed magnitude requires full report figures.",https://tccip.ncdr.nat.gov.tw/ScientificReport2024/dl_abstract.aspx,verified_public
T06,National Climate Change Scientific Report 2024 chapter PDF,2024,National Environmental Research Academy,"The report uses extreme temperature indicators such as daily maximum temperature, daily minimum temperature, warm days, warm nights, and heat wave duration index to evaluate climate change impacts.","Methods; Temperature Indicators",High,"Technical definitions; not itself an electricity-demand estimate.",https://www.nera.gov.tw/upload/cmNormalFile/2024-08-28/589f6935-f10f-4169-8655-c33755d2d6a2/%E7%AC%AC2%E7%AB%A0.pdf,verified_public
T07,MOEA/Taipower 2026 supply stability statement,2026-03-24,MOEA/Taipower,"Taipower expected 2026 peak load of 42.94 GW and night peak load of 38.53 GW, with planned new renewable energy and four new units totaling 5.2 GW, aiming to maintain day peak reserve above 10% and night peak reserve above 7%.","Electricity Link; Peak/Night Peak",High,"Official supply-stability statement; should be stress-tested rather than accepted as final adequacy proof.",https://www.moea.gov.tw/MNS/POPULACE/news/News.aspx?kind=1&menu_id=40&news_id=122193,verified_public
T08,Taipower daily reserve margin page,2026-05-27 accessed,Taipower,"Taipower defines operating reserve and percent operating reserve as daily indicators of power-system reliability, based on net peak supply capability minus instantaneous peak load.","Electricity Link; Monitoring",High,"Dynamic page; actual daily values require timestamped capture.",https://www.taipower.com.tw/d006/loadGraph/loadGraph/load_reserveT_.html,verified_public
T09,Taipower monthly article on power supply transition,2026 accessed,Taipower,"Taipower states that Taiwan's supply stability challenge has shifted from past day peaks toward night peaks, because daytime solar output helps but evening periods face less solar generation and greater dispatch challenges.","Electricity Link; Night Peak",Medium-high,"Company publication; qualitative but directly relevant.",https://service.taipower.com.tw/tpcjournal/article/7235,verified_public
T10,Taipower magazine PDF on HVAC demand response,2026 accessed,Taipower,"A Taipower magazine article states that Taiwan's summer peak load is strongly affected by air conditioning and reports that around 1-2 p.m., a 1°C temperature increase can raise system load by about 600 MW.","Temperature-To-Load Link",Medium-high,"Magazine article and secondary reporting of research; verify underlying methodology before using as precise coefficient.",https://www.taipower.com.tw/media/f1oehghv/819%E6%9C%9F11%E6%9C%88%E8%99%9F-%E5%85%A8%E6%96%87%E8%A8%82%E9%96%B1%E7%89%88.pdf?mediaDL=true,verified_public
T11,Temperature-electricity STR model paper,2018,Academic,"A Taiwan-focused study models a nonlinear relationship between temperature and electricity consumption, emphasizing cooling demand and degree-day concepts.","Temperature-To-Load Link",Medium,"Academic source quality and assumptions should be reviewed before quantitative use.",https://www.scirp.org/journal/doi.aspx?DOI=10.4236%2Fme.2018.94038,verified_public
T12,IEA Electricity 2026 executive summary,2026,IEA,"IEA forecasts global electricity demand to grow at an average annual rate of 3.6% during 2026-2030, driven by industry, EVs, air conditioning, and data centers.","Global Context",High,"Global aggregate; not Taiwan-specific.",https://www.iea.org/reports/electricity-2026/executive-summary,verified_public

